	tp000	tp001	tp002	tp003	tp004	tp005	tp006	tp007	tp008	tp009	tp010	tp011	tp012	tp013	tp014	tp015	tp016	tp017	tp018	tp019	tp020	tp021	tp022	tp023	tp024	tp025	tp026	tp027	tp028	tp029
Comédie$0	0.00015242865729882144	0.05686047693659532	0.051561147961204847	0.0015068585737243942	3.661290312631189e-05	0.00015314014288944354	0.050688148110129734	0.05250629322438584	0.03925747349970449	0.22909437718549958	0.07599199706598571	0.061382240944245124	3.27838848025368e-05	0.0026784027740950817	0.0030292328507804537	0.00012806527810336357	0.015644250614804203	0.04914102731337978	0.06313836968382991	0.009220727601007435	0.00011185099020346567	0.06532900420416152	0.0001645650149922169	0.007669238861082513	0.014436966163557309	0.0015886953704386897	0.00011734277626147151	0.07027580191445698	7.112224147346484e-05	0.07803135725777988
Comédie$1	0.0017039896270621398	0.06252884255772821	0.05310198354650072	0.0016918732966145764	2.1415077631844157e-05	0.00032533167577284056	0.042749021796071096	0.05133539177539657	0.050335746093754755	0.22757760805767535	0.08675002589064015	0.0555714641207985	0.00043752875632669275	0.0014601104504093957	0.00636696497356653	0.0002356967578112211	0.014895772894559995	0.053082513202610246	0.06155334196101702	0.007997879595414677	0.0002282959838050913	0.07305980747191601	0.0001797820243364425	0.01573137565037287	0.008563213028326121	0.0020512027493529523	3.656463328249792e-05	0.03780395682770825	0.00016458173624320718	0.0824587177872941
Comédie$2	0.0025867890909965605	0.05805312526470383	0.05597892728558035	0.011252553111879036	3.932654823633337e-05	0.0009855808898557048	0.05254273104341244	0.050434354974027755	0.036576625045838404	0.2234896292653984	0.09143489475778939	0.04016513036809244	6.642901395337063e-05	0.005231375478969984	0.0029269150766057677	2.9686498654039525e-05	0.020665221467741544	0.06105749473416985	0.05683280774501389	0.013947914387633233	0.0006837392833434874	0.069824224330199	9.974612572834877e-05	0.008625708487181043	0.014430334073281498	0.0036565726970428166	0.00013141165810497978	0.04502429840459059	0.0007732626374472131	0.07245319025452883
Comédie$3	0.009326495089980735	0.04606763781944715	0.0347456740695488	0.00461498883017331	9.002629605197025e-05	0.00021172017214534378	0.041853950005587746	0.060638433617506225	0.050458577993067376	0.21349317833061202	0.06677186950337692	0.05425951041930303	3.550373919085705e-05	0.003141745290375145	0.010693663205701814	7.418633191612495e-05	0.018852252126625172	0.05065799317836877	0.06826190536549176	0.01279308915677165	0.0006028168393175785	0.06985607828941075	0.0005180419439979107	0.011740634580803	0.013389593608476571	0.0002808121947866967	0.00112019397480427	0.0736117191066474	0.0012746682409226207	0.08056304067959125
Comédie$4	0.0024171838410499695	0.06120237347759948	0.045736098665632	0.004463629140985312	0.001460928228556045	0.0004297480369801222	0.055216180598127086	0.040055138835214374	0.03339518459572203	0.22852677756268353	0.06857955115355088	0.05186182031000359	0.0020623875948253905	0.006094399233340399	0.010670266772673857	0.0001854057816402283	0.01859299606480455	0.052557032781814166	0.07373163172642459	0.012565391806044579	0.001163364222347586	0.07033059672469308	0.000884250087996184	0.004110556397485184	0.010106172063567283	0.005873752855805852	0.000341310988898995	0.04919208461486101	0.001686408032550001	0.0865073778041227
Tragédie$0	0.028277793632833614	8.254376910223021e-05	1.9013931293167728e-05	0.03761360732323797	0.039075132215059934	0.030705279179165337	3.0246874101244942e-05	0.07292041873222725	8.64350337141975e-06	0.040974905354764446	1.5948885100917346e-05	0.0006082180565247987	0.03500088804772486	0.05171511850679822	0.055073188957448366	0.03646835390307687	0.026258169264900787	3.0553951785749556e-05	5.3559963051196895e-05	0.05516194406787848	0.06498645631350632	0.1159694291473177	0.07780281086719441	0.058061509615984726	0.041405101689865415	0.044592495722636176	0.03982589062520949	3.851841644717334e-05	0.04718920452072071	3.505496167106337e-05
Tragédie$1	0.03193363855785465	0.0010225062739732153	2.5735080389712777e-05	0.048366899147595004	0.02845135115555836	0.03459304420727438	0.002762290737615515	0.07107530349642747	0.0013246336465014541	0.04740186357930288	7.436526984729605e-05	0.0007025423423621495	0.030921382761973416	0.0532891072400756	0.06259299264511431	0.03675218136474897	0.0202465131030618	3.634689362702175e-05	0.00010737676972100577	0.049830298934256174	0.05774177376605242	0.12365472565461405	0.07772534523648726	0.052618829366159005	0.04769956395311351	0.03282107584976298	0.04224404420994633	0.00037064157736910305	0.043598746619363964	1.4880559851029258e-05
Tragédie$2	0.03516670951512921	1.1862498003302839e-05	3.4446242391506716e-05	0.04292654895526511	0.032390407420656984	0.031907694558275655	1.844689112696814e-05	0.0808070107792484	0.0006638723508277384	0.04615505970250065	0.00011822453354343462	0.0017568055864300412	0.03875764414939372	0.04821878142578631	0.055815503693566824	0.03344394698283658	0.01889613586734838	2.1990871312249908e-05	8.249360297966035e-05	0.05573511742517183	0.05827251036433725	0.11965748404364325	0.0702647068789214	0.05361513924404575	0.04240133580109233	0.04184065379284352	0.04318443960706584	1.3339067735203926e-05	0.04779930926876364	2.237887975732467e-05
Tragédie$3	0.03307226096734629	0.0008935568662771867	2.219018371006976e-05	0.054261122249143146	0.028060910577630823	0.03169695305418023	0.0021153827408594865	0.07307049317087895	0.0007155325761879568	0.05120571649776354	0.00011555619059800541	0.0013873699081903674	0.030568245977888923	0.034843679301927416	0.061434418506436335	0.03776701071350667	0.021899827131689774	0.00017377047423614448	3.456085314717628e-05	0.06657104036574162	0.06475100261510165	0.12877311358740284	0.06250649079246488	0.05328739841868568	0.040463085822233055	0.036411694002142954	0.03737142018378932	3.5537646387594514e-05	0.04647500644288234	1.565218156960569e-05
Tragédie$4	0.047074213566977274	0.000881823740134734	0.0005048799331196793	0.05349716242056971	0.03216540087718242	0.040451210409928044	0.0027459861806305333	0.0707218330209848	0.00446553505902458	0.04867755734368366	0.000559080723418119	0.0009029825663397999	0.018004867007470424	0.0370489458973397	0.07831250995930349	0.04179950737879633	0.020100759070546485	2.8981456918407125e-05	0.0008054318445853535	0.0685849028853128	0.052992417473420074	0.09937929904555493	0.06226438846262089	0.039065106522094516	0.055988834835848725	0.0378452201060087	0.048246260022540816	0.00035162000345118825	0.036497522988368794	3.5759197825111016e-05
