filenames,binids
tc0162_0305,3
tc0139_0202,1
tc0180_0504,5
tc0180_0106,1
tc0154_0401,3
tc0146_0507,5
tc0139_0503,5
tc0154_0203,2
tc0162_0505,5
tc0180_0102,1
tc0139_0406,5
tc0162_0307,3
tc0139_0206,2
tc0167_0204,2
tc0146_0302,2
tc0131_0607,5
tc0131_0201,1
tc0131_0403,3
tc0178_0407,5
tc0180_0309,3
tc0180_0406,4
tc0180_0405,4
tc0178_0202,2
tc0131_0603,5
tc0152_0103,1
tc0178_0409,5
tc0146_0503,4
tc0146_0404,4
tc0152_0405,4
tc0139_0207,2
tc0146_0401,3
tc0154_0506,5
tc0178_0502,5
tc0162_0103,1
tc0162_0206,2
tc0131_0606,5
tc0180_0305,3
tc0162_0504,5
tc0178_0401,4
tc0162_0309,3
tc0146_0505,5
tc0146_0504,5
tc0167_0502,5
tc0154_0303,3
tc0191_0302,2
tc0180_0404,4
tc0154_0301,2
tc0139_0304,3
tc0180_0202,2
tc0191_0507,5
tc0131_0504,4
tc0167_0103,1
tc0154_0505,5
tc0178_0405,4
tc0162_0207,2
tc0154_0304,3
tc0178_0101,1
tc0162_0202,1
tc0131_0305,2
tc0167_0203,2
tc0131_0503,4
tc0191_0103,1
tc0146_0506,5
tc0191_0305,3
tc0162_0508,5
tc0131_0202,1
tc0154_0402,4
tc0152_0304,3
tc0162_0303,3
tc0139_0303,3
tc0154_0204,2
tc0191_0101,1
tc0191_0301,2
tc0152_0502,5
tc0191_0402,3
tc0180_0203,2
tc0162_0301,2
tc0178_0501,5
tc0191_0203,2
tc0178_0103,1
tc0162_0308,3
tc0167_0202,2
tc0167_0303,3
tc0152_0404,4
tc0146_0202,2
tc0139_0501,5
tc0191_0404,4
tc0178_0204,2
tc0131_0601,4
tc0178_0304,3
tc0139_0305,3
tc0152_0104,1
tc0139_0201,1
tc0191_0401,3
tc0154_0101,1
tc0162_0509,5
tc0152_0101,1
tc0162_0501,4
tc0167_0403,4
tc0139_0502,5
tc0191_0506,5
tc0152_0403,4
tc0178_0102,1
tc0178_0306,3
tc0180_0308,3
tc0146_0402,3
tc0152_0503,5
tc0180_0303,2
tc0152_0402,4
tc0152_0201,2
tc0139_0203,1
tc0152_0406,5
tc0146_0502,4
tc0154_0404,4
tc0162_0402,4
tc0180_0304,3
tc0154_0306,3
tc0178_0206,2
tc0191_0501,4
tc0146_0203,2
tc0180_0301,2
tc0162_0302,2
tc0191_0201,1
tc0162_0203,1
tc0139_0205,2
tc0152_0203,2
tc0131_0401,2
tc0139_0402,4
tc0167_0505,5
tc0139_0401,4
tc0154_0201,1
tc0178_0301,2
tc0167_0501,4
tc0154_0504,5
tc0167_0401,3
tc0180_0307,3
tc0191_0406,4
tc0139_0204,2
tc0146_0102,1
tc0162_0506,5
tc0146_0403,3
tc0180_0101,1
tc0139_0405,5
tc0167_0404,4
tc0139_0102,1
tc0180_0204,2
tc0178_0408,5
tc0131_0501,3
tc0167_0503,5
tc0180_0306,3
tc0162_0104,1
tc0180_0505,5
tc0162_0507,5
tc0180_0502,5
tc0146_0508,5
tc0167_0104,1
tc0154_0501,4
tc0162_0209,2
tc0180_0104,1
tc0180_0302,2
tc0162_0401,4
tc0178_0203,2
tc0162_0102,1
tc0139_0404,4
tc0191_0405,4
tc0167_0302,3
tc0178_0402,4
tc0139_0302,3
tc0162_0304,3
tc0180_0501,5
tc0178_0105,1
tc0162_0101,1
tc0152_0302,3
tc0178_0104,1
tc0152_0202,2
tc0154_0503,5
tc0191_0503,5
tc0191_0102,1
tc0154_0302,2
tc0178_0403,4
tc0146_0304,3
tc0167_0102,1
tc0167_0101,1
tc0131_0301,1
tc0154_0403,4
tc0131_0203,1
tc0152_0501,5
tc0162_0404,4
tc0131_0605,5
tc0191_0504,5
tc0167_0405,4
tc0178_0302,3
tc0154_0102,1
tc0178_0201,1
tc0180_0403,4
tc0131_0303,2
tc0162_0403,4
tc0180_0201,1
tc0162_0208,2
tc0152_0305,3
tc0180_0401,4
tc0131_0502,3
tc0131_0602,4
tc0154_0103,1
tc0167_0402,4
tc0162_0502,4
tc0146_0303,3
tc0162_0205,2
tc0191_0303,2
tc0154_0202,1
tc0167_0504,5
tc0152_0303,3
tc0191_0306,3
tc0139_0301,3
tc0146_0103,1
tc0180_0105,1
tc0180_0103,1
tc0146_0101,1
tc0139_0101,1
tc0162_0306,3
tc0180_0310,4
tc0178_0410,5
tc0178_0305,3
tc0154_0502,5
tc0139_0403,4
tc0131_0302,1
tc0191_0505,5
tc0146_0301,2
tc0191_0202,1
tc0191_0403,3
tc0162_0204,1
tc0180_0407,5
tc0146_0201,1
tc0131_0402,2
tc0178_0404,4
tc0152_0401,3
tc0191_0304,2
tc0152_0301,2
tc0154_0305,3
tc0146_0501,4
tc0162_0405,4
tc0131_0404,3
tc0131_0505,4
tc0162_0503,5
tc0162_0406,4
tc0180_0402,4
tc0146_0104,1
tc0152_0102,1
tc0167_0301,2
tc0180_0503,5
tc0178_0406,4
tc0178_0205,2
tc0191_0502,4
tc0167_0201,2
tc0167_0304,3
tc0131_0604,5
tc0162_0201,1
tc0178_0303,3
tc0131_0304,2
